timestamp,elapsed_time,Plastic_1_in_water_pixel_area,Plastic_1_in_water_area_cm2,Plastic_2_in_acid_pixel_area,Plastic_2_in_acid_area_cm2
20250411_082856,71675.12,102556.0,4.135330851306864,100683.5,4.059826668040433
20250411_082906,71685.15,102556.5,4.135351012637509,100790.0,4.064121031467869
20250411_082916,71695.19,102595.0,4.136903435097193,0.0,0.0
20250411_082926,71705.21,102563.5,4.135633271266543,100683.5,4.059826668040433
20250411_082936,71715.25,102494.0,4.132830846306854,100719.0,4.061258122516245
20250411_082946,71725.28,102633.0,4.138435696226231,100753.0,4.062629093000122
20250411_082956,71735.31,102652.5,4.139221988121395,100712.5,4.060996025217857
20250411_083006,71745.34,102666.5,4.139786505379463,100565.0,4.05504843267751
20250411_083016,71755.38,102549.0,4.135048592677831,100695.0,4.0602903786452735
20250411_083026,71765.42,102594.5,4.136883273766547,100662.5,4.058979892153332
20250411_083036,71775.44,102715.0,4.141742154452051,100753.5,4.062649254330767
20250411_083046,71785.47,102588.5,4.136641337798805,100729.0,4.0616613491291504
20250411_083056,71795.51,102629.0,4.138274405581069,100651.5,4.058536342879137
20250411_083106,71805.54,102621.5,4.13797198562139,100686.0,4.059927474693659
20250411_083117,71815.57,102638.0,4.138637309532683,100725.0,4.061500058483988
20250411_083127,71825.61,102625.0,4.138113114935908,100623.5,4.057407308363004
20250411_083137,71835.64,102646.0,4.138959890823008,100688.5,4.060028281346885
20250411_083147,71845.67,102660.5,4.139544569411719,100781.5,4.0637782888469
20250411_083157,71855.7,102579.5,4.13627843384719,100684.5,4.059866990701724
20250411_083207,71865.73,102615.0,4.137709888323003,100718.5,4.0612379611856
20250411_083217,71875.76,102580.5,4.136318756508481,100677.5,4.05958473207269
20250411_083227,71885.8,102658.0,4.139443762758493,100697.0,4.060371023967854
20250411_083237,71895.83,102563.0,4.135613109935897,100653.0,4.0585968268710735
20250411_083247,71905.87,102536.5,4.1345445594117,0.0,0.0
20250411_083257,71915.89,102547.0,4.13496794735525,100629.0,4.057629083000101
20250411_083307,71925.93,102522.5,4.133980042153633,100607.0,4.056741984451711
20250411_083317,71935.96,102685.0,4.1405324746133365,100558.0,4.054766174048477
20250411_083327,71945.99,102627.0,4.138193760258488,100637.0,4.057951664290425
20250411_083337,71956.02,102569.5,4.135875207234285,100749.0,4.06246780235496
20250411_083347,71966.06,102621.5,4.13797198562139,100612.5,4.056963759088808
20250411_083357,71976.09,102584.0,4.1364598858229975,100740.0,4.062104898403345
20250411_083407,71986.13,102540.5,4.134705850056862,100709.0,4.06085489590334
20250411_083417,71996.15,102640.5,4.13873811618591,100626.5,4.057528276346875
20250411_083427,72006.18,102554.0,4.135250205984283,100685.5,4.059907313363014
20250411_083437,72016.22,102591.0,4.136742144452031,100698.0,4.060411346629145
20250411_083447,72026.25,102639.0,4.138677632193974,100572.0,4.055330691306544
20250411_083457,72036.28,102673.0,4.140048602677851,100630.5,4.057689566992037
20250411_083507,72046.32,102523.5,4.134020364814923,100630.0,4.057669405661392
20250411_083517,72056.35,102615.5,4.137730049653648,100654.5,4.058657310863008
20250411_083527,72066.38,102543.5,4.134826818040732,100653.5,4.058616988201719
20250411_083537,72076.41,102538.5,4.134625204734281,100586.0,4.0558952085646105
20250411_083547,72086.44,102550.0,4.1350889153391215,100646.5,4.058334729572685
20250411_083557,72096.48,102546.0,4.134927624693959,100691.5,4.060149249330757
20250411_083607,72106.51,102586.0,4.136540531145578,100598.5,4.056399241830742
20250411_083617,72116.54,102639.0,4.138677632193974,100614.5,4.05704440441139
20250411_083628,72126.58,102599.5,4.137084887073,100651.0,4.058516181548493
20250411_083638,72136.61,102550.5,4.135109076669767,0.0,0.0
20250411_083648,72146.64,102618.0,4.137830856306874,100623.0,4.057387147032359
20250411_083658,72156.67,102621.0,4.137951824290745,100594.0,4.056217789854935
20250411_083708,72166.7,102556.5,4.135351012637509,0.0,0.0
20250411_083718,72176.74,102591.0,4.136742144452031,100697.5,4.060391185298499
20250411_083728,72186.77,102481.0,4.132306651710078,100543.0,4.05416133412912
20250411_083738,72196.8,102547.5,4.134988108685895,0.0,0.0
20250411_083748,72206.83,102572.0,4.135976013887512,100617.0,4.057145211064616
20250411_083758,72216.86,102586.5,4.136560692476224,100598.5,4.056399241830742
20250411_083808,72226.9,102559.5,4.13547198062138,100603.5,4.056600855137194
20250411_083818,72236.93,102568.5,4.135834884572994,100678.0,4.059604893403336
20250411_083828,72246.96,102597.0,4.136984080419774,100541.5,4.054100850137185
20250411_083838,72256.99,102558.5,4.1354316579600905,100627.5,4.057568599008166
20250411_083848,72267.03,102572.5,4.135996175218157,100632.5,4.057770212314618
20250411_083858,72277.06,102549.0,4.135048592677831,100652.0,4.058556504209783
20250411_083908,72287.09,102647.5,4.139020374814943,100634.5,4.057850857637199
20250411_083918,72297.12,102578.0,4.136217949855254,100677.5,4.05958473207269
20250411_083928,72307.16,102532.0,4.134363107435892,100609.0,4.056822629774292
20250411_083938,72317.19,102614.5,4.137689726992357,100651.5,4.058536342879137
20250411_083948,72327.22,102612.5,4.137609081669776,100565.5,4.055068594008156
